Lineage name	England	Wales	Scotland	Northern_Ireland	Date range	Total sequences	Global lineage	Time since last sample (days)
UK5	1000 (83.47%)	125 (10.43%)	70 (5.84%)	3 (0.25%)	Mar-03, May-22	1198	B.1.1.1, B.1, B.1.1	2
UK2464	240 (59.7%)	70 (17.41%)	92 (22.89%)	0 (0%)	Mar-09, May-12	402	B.1.p11	12
UK61	22 (6.08%)	340 (93.92%)	0 (0%)	0 (0%)	Mar-10, May-01	362	B.3	23
UK701	244 (80.79%)	43 (14.24%)	7 (2.32%)	8 (2.65%)	Feb-03, May-10	302	B.1, B.1.p11	14
UK36	81 (26.91%)	2 (0.66%)	216 (71.76%)	2 (0.66%)	Mar-18, May-12	301	B.1	12
UK19	137 (62.84%)	81 (37.16%)	0 (0%)	0 (0%)	Mar-09, May-10	218	B.1.44, B.1	14
UK9	199 (99.5%)	1 (0.5%)	0 (0%)	0 (0%)	Mar-09, May-05	200	B.1.13	19
UK52	3 (1.69%)	0 (0%)	175 (98.31%)	0 (0%)	Mar-16, May-12	178	B.1.p73, B.1	12
UK158	25 (14.97%)	142 (85.03%)	0 (0%)	0 (0%)	Mar-20, May-02	167	B.1.1.2, B.1.1	22
UK4	138 (90.79%)	13 (8.55%)	1 (0.66%)	0 (0%)	Feb-28, May-01	152	B	23
UK632	54 (35.76%)	97 (64.24%)	0 (0%)	0 (0%)	Mar-23, May-17	151	B.1.1	7
UK40	6 (4.48%)	2 (1.49%)	126 (94.03%)	0 (0%)	Mar-13, May-12	134	B, B.16	12
UK42	10 (8.0%)	112 (89.6%)	3 (2.4%)	0 (0%)	Mar-07, May-07	125	B.1, B.1.35	17
UK74	21 (17.95%)	96 (82.05%)	0 (0%)	0 (0%)	Mar-12, May-03	117	B.1	21
UK6	112 (96.55%)	0 (0%)	4 (3.45%)	0 (0%)	Mar-06, May-13	116	B.1	11
UK494	105 (98.13%)	1 (0.93%)	1 (0.93%)	0 (0%)	Mar-20, May-05	107	B.1.p11	19
UK63	103 (97.17%)	2 (1.89%)	1 (0.94%)	0 (0%)	Mar-18, May-05	106	B.1.1	19
UK2200	22 (24.44%)	33 (36.67%)	32 (35.56%)	3 (3.33%)	Feb-28, May-05	90	B.1.5.6, B.1.5	19
UK66	68 (80.0%)	0 (0%)	16 (18.82%)	1 (1.18%)	Mar-18, May-20	85	B.1.1.8	4
UK39	0 (0%)	0 (0%)	80 (100.0%)	0 (0%)	Mar-12, May-10	80	A.2	14
UK371	79 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-12, May-19	79	B.1.1	5
UK77	74 (94.87%)	4 (5.13%)	0 (0%)	0 (0%)	Mar-11, May-20	78	B.2.4, B.2	4
UK72	18 (23.38%)	0 (0%)	7 (9.09%)	52 (67.53%)	Mar-11, May-04	77	B.10	20
UK5322	53 (70.67%)	16 (21.33%)	5 (6.67%)	1 (1.33%)	Mar-23, May-13	75	B.1.1	11
UK26	73 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-18, May-18	73	B.1.1.3	6
UK177	73 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-27, May-02	73	B.1.1	22
UK31	71 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-21, May-08	71	B.1	16
UK107	68 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-15, Apr-21	68	B.2, B.2.5, B.2.1	33
UK175	0 (0%)	0 (0%)	67 (100.0%)	0 (0%)	Mar-22, May-04	67	B.1	20
UK495	2 (2.99%)	65 (97.01%)	0 (0%)	0 (0%)	Mar-27, May-02	67	B.1.p11	22
UK89	64 (96.97%)	2 (3.03%)	0 (0%)	0 (0%)	Mar-11, May-17	66	B.1.1.9	7
UK37	60 (96.77%)	1 (1.61%)	1 (1.61%)	0 (0%)	Mar-17, May-04	62	B.1, B.1.30	20
UK274	59 (95.16%)	2 (3.23%)	1 (1.61%)	0 (0%)	Mar-06, May-11	62	B, B.3	13
UK200	62 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Apr-08, May-14	62	B.1.p11	10
UK194	61 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-19, Apr-24	61	B.1.1	30
UK343	60 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-28, Apr-24	60	B.1	30
