UK_lineage,taxon
UK4323,Wales/PHWC-24E93/2020
UK155,Wales/PHWC-2507E/2020
UK1320,Wales/PHWC-24FFA/2020
UK295,Wales/PHWC-25023/2020
UK4324,Wales/PHWC-24F54/2020
UK4325,Wales/PHWC-2506F/2020
UK4326,Wales/PHWC-24F18/2020
UK71,Wales/PHWC-24F36/2020
UK4327,Wales/PHWC-24E57/2020
UK4619,Wales/PHWC-253EE/2020
UK4328,Wales/PHWC-25454/2020
UK2917,Wales/PHWC-24D78/2020
UK5127,Wales/PHWC-24C99/2020
UK5128,Wales/PHWC-249B0/2020
UK2498,Wales/PHWC-248A4/2020
UK1202,Wales/PHWC-24D69/2020
UK4333,Wales/PHWC-249FC/2020
UK5129,Wales/PHWC-24B23/2020
UK2869,Wales/PHWC-24D96/2020
UK70,Wales/PHWC-24B32/2020
UK4338,Wales/PHWC-246C8/2020
UK5801,Wales/PHWC-24640/2020
UK1853,Wales/PHWC-246E6/2020
UK2501,Wales/PHWC-2469B/2020
UK1854,Wales/PHWC-2468C/2020
UK5131,Wales/PHWC-243D0/2020
UK5696,Wales/PHWC-244FB/2020
UK2661,Wales/PHWC-246B9/2020
UK2918,Wales/PHWC-2465F/2020
UK1464,Wales/PHWC-245AD/2020
UK1603,Wales/PHWC-24015/2020
UK1072,Wales/PHWC-24112/2020
