Name,oldest_sequence,newest_sequence,number_taxa
UK7592,2020-03-30,2020-03-30,1
UK7172,2020-04-02,2020-04-02,1
UK140,2020-03-23,2020-04-19,22
UK7494,2020-03-26,2020-03-26,1
UK7375,2020-03-24,2020-03-24,1
UK7495,2020-03-23,2020-03-23,1
UK3813,2020-03-29,2020-04-28,6
UK939,2020-03-11,2020-04-02,12
UK1591,2020-03-17,2020-03-25,5
UK7219,2020-03-30,2020-03-30,1
UK2,2020-03-01,2020-04-27,39
UK7312,2020-03-30,2020-03-30,1
UK3328,2020-04-02,2020-04-30,5
UK3732,2020-03-27,2020-04-27,4
UK7241,2020-03-28,2020-03-28,1
UK2270,2020-03-24,2020-04-28,15
UK7313,2020-03-29,2020-03-29,1
UK7595,2020-03-28,2020-03-28,1
UK6317,2020-03-25,2020-04-06,3
UK7173,2020-03-26,2020-03-26,1
UK7432,2020-03-24,2020-03-24,1
UK7615,2020-03-29,2020-03-29,1
UK7176,2020-03-25,2020-03-25,1
UK7496,2020-03-30,2020-03-30,1
UK2979,2020-03-24,2020-04-29,4
UK7412,2020-03-23,2020-03-23,1
UK7497,2020-04-01,2020-04-01,1
UK7584,2020-03-23,2020-03-23,1
UK2165,2020-04-01,2020-04-16,2
UK3754,2020-03-27,2020-04-22,12
UK7498,2020-03-24,2020-03-24,1
UK1124,2020-03-31,2020-04-25,13
UK3906,2020-03-23,2020-04-29,20
UK7237,2020-03-31,2020-03-31,1
UK7499,2020-03-30,2020-03-30,1
UK7162,2020-03-20,2020-03-20,1
UK4787,2020-04-01,2020-04-14,5
UK7347,2020-03-30,2020-03-30,1
UK7161,2020-03-21,2020-03-21,1
UK112,2020-03-12,2020-05-01,28
UK7433,2020-03-29,2020-03-29,1
UK7314,2020-03-23,2020-03-23,1
UK1795,2020-03-31,2020-04-07,2
UK7596,2020-03-31,2020-03-31,1
UK7272,2020-04-04,2020-04-04,1
UK7163,2020-04-04,2020-04-04,1
UK7400,2020-04-04,2020-04-04,1
UK7585,2020-04-04,2020-04-04,1
UK7500,2020-04-04,2020-04-04,1
UK105,2020-03-11,2020-04-18,56
UK5511,2020-03-23,2020-04-14,9
UK7139,2020-03-18,2020-04-29,86
UK7501,2020-04-04,2020-04-04,1
UK7589,2020-04-04,2020-04-04,1
UK7353,2020-04-04,2020-04-04,1
UK7586,2020-04-04,2020-04-04,1
UK7502,2020-04-04,2020-04-04,1
UK7609,2020-04-04,2020-04-04,1
UK979,2020-03-26,2020-04-18,3
UK7293,2020-04-17,2020-04-17,1
UK7578,2020-04-15,2020-04-15,1
UK7160,2020-04-21,2020-04-26,3
UK7196,2020-04-27,2020-04-27,1
UK3411,2020-04-06,2020-04-28,10
UK3778,2020-03-25,2020-05-03,18
UK5931,2020-04-16,2020-04-24,3
UK3777,2020-03-30,2020-04-22,5
UK7112,2020-03-29,2020-04-27,4
UK4662,2020-04-05,2020-04-28,2
UK5287,2020-03-16,2020-04-12,3
UK2950,2020-03-25,2020-03-25,1
UK6529,2020-03-25,2020-03-25,1
UK51,2020-03-17,2020-05-01,39
UK6530,2020-03-23,2020-03-23,1
UK6531,2020-03-23,2020-03-23,1
UK5874,2020-03-23,2020-03-23,1
UK6532,2020-03-21,2020-03-21,1
UK6819,2020-03-14,2020-03-14,1
UK6533,2020-03-21,2020-03-21,1
